Color,Compound,Date,Negative,Neutral,Positive,Source Account,Tweets Ago
lightblue,0.0,Sat Jan 06 23:57:10 +0000 2018,1.0,0.0,0.0,@BBC,0
lightblue,0.5859,Sat Jan 06 23:56:58 +0000 2018,0.743,0.0,0.257,@BBC,1
lightblue,-0.4939,Sat Jan 06 23:56:09 +0000 2018,0.862,0.138,0.0,@BBC,2
lightblue,0.0,Sat Jan 06 23:55:08 +0000 2018,1.0,0.0,0.0,@BBC,3
lightblue,0.0,Sat Jan 06 19:33:03 +0000 2018,1.0,0.0,0.0,@BBC,4
lightblue,0.3612,Sat Jan 06 19:01:04 +0000 2018,0.872,0.0,0.128,@BBC,5
lightblue,0.5859,Sat Jan 06 18:32:03 +0000 2018,0.808,0.0,0.192,@BBC,6
lightblue,0.4118,Sat Jan 06 17:59:01 +0000 2018,0.828,0.0,0.172,@BBC,7
lightblue,0.3612,Sat Jan 06 17:30:07 +0000 2018,0.889,0.0,0.111,@BBC,8
lightblue,0.0,Sat Jan 06 17:00:09 +0000 2018,1.0,0.0,0.0,@BBC,9
lightblue,0.0,Sat Jan 06 16:45:03 +0000 2018,1.0,0.0,0.0,@BBC,10
lightblue,-0.7269,Sat Jan 06 16:30:04 +0000 2018,0.681,0.319,0.0,@BBC,11
lightblue,-0.2006,Sat Jan 06 16:18:16 +0000 2018,0.637,0.225,0.137,@BBC,12
lightblue,-0.6486,Sat Jan 06 16:03:04 +0000 2018,0.531,0.338,0.13,@BBC,13
lightblue,0.4588,Sat Jan 06 15:33:03 +0000 2018,0.773,0.062,0.165,@BBC,14
lightblue,0.0,Sat Jan 06 15:21:56 +0000 2018,1.0,0.0,0.0,@BBC,15
lightblue,-0.7901,Sat Jan 06 15:00:10 +0000 2018,0.611,0.389,0.0,@BBC,16
lightblue,0.3612,Sat Jan 06 14:00:04 +0000 2018,0.737,0.0,0.263,@BBC,17
lightblue,0.6369,Sat Jan 06 13:00:08 +0000 2018,0.721,0.0,0.279,@BBC,18
lightblue,-0.6597,Sat Jan 06 12:00:06 +0000 2018,0.812,0.188,0.0,@BBC,19
lightblue,0.0,Sat Jan 06 11:41:46 +0000 2018,1.0,0.0,0.0,@BBC,20
lightblue,0.8176,Sat Jan 06 11:41:41 +0000 2018,0.762,0.0,0.238,@BBC,21
lightblue,0.7096,Sat Jan 06 11:41:31 +0000 2018,0.731,0.0,0.269,@BBC,22
lightblue,0.4588,Sat Jan 06 11:41:27 +0000 2018,0.85,0.0,0.15,@BBC,23
lightblue,-0.3182,Sat Jan 06 11:41:23 +0000 2018,0.753,0.247,0.0,@BBC,24
lightblue,0.0,Sat Jan 06 11:41:14 +0000 2018,1.0,0.0,0.0,@BBC,25
lightblue,-0.7088,Sat Jan 06 11:30:02 +0000 2018,0.772,0.228,0.0,@BBC,26
lightblue,-0.1007,Sat Jan 06 11:01:03 +0000 2018,0.655,0.184,0.161,@BBC,27
lightblue,0.6124,Sat Jan 06 10:30:10 +0000 2018,0.818,0.0,0.182,@BBC,28
lightblue,0.34,Sat Jan 06 10:14:59 +0000 2018,0.776,0.082,0.142,@BBC,29
lightblue,0.3612,Sat Jan 06 10:00:03 +0000 2018,0.731,0.1,0.169,@BBC,30
lightblue,0.0,Sat Jan 06 08:59:04 +0000 2018,1.0,0.0,0.0,@BBC,31
lightblue,0.5994,Sat Jan 06 08:00:11 +0000 2018,0.794,0.0,0.206,@BBC,32
lightblue,-0.0258,Fri Jan 05 19:34:09 +0000 2018,0.751,0.127,0.122,@BBC,33
lightblue,0.0,Fri Jan 05 19:00:07 +0000 2018,1.0,0.0,0.0,@BBC,34
lightblue,0.0,Fri Jan 05 18:33:04 +0000 2018,1.0,0.0,0.0,@BBC,35
lightblue,0.5859,Fri Jan 05 18:04:03 +0000 2018,0.787,0.0,0.213,@BBC,36
lightblue,0.0,Fri Jan 05 17:30:03 +0000 2018,1.0,0.0,0.0,@BBC,37
lightblue,0.0,Fri Jan 05 17:02:05 +0000 2018,1.0,0.0,0.0,@BBC,38
lightblue,0.0,Fri Jan 05 15:27:42 +0000 2018,1.0,0.0,0.0,@BBC,39
lightblue,0.0,Fri Jan 05 14:33:07 +0000 2018,1.0,0.0,0.0,@BBC,40
lightblue,-0.2732,Fri Jan 05 14:23:24 +0000 2018,0.684,0.198,0.118,@BBC,41
lightblue,0.4939,Fri Jan 05 14:00:06 +0000 2018,0.824,0.0,0.176,@BBC,42
lightblue,0.0,Fri Jan 05 13:33:12 +0000 2018,1.0,0.0,0.0,@BBC,43
lightblue,0.0,Fri Jan 05 13:03:03 +0000 2018,1.0,0.0,0.0,@BBC,44
lightblue,-0.4767,Fri Jan 05 12:30:05 +0000 2018,0.744,0.256,0.0,@BBC,45
lightblue,0.0,Fri Jan 05 12:02:03 +0000 2018,1.0,0.0,0.0,@BBC,46
lightblue,0.0,Fri Jan 05 11:33:04 +0000 2018,1.0,0.0,0.0,@BBC,47
lightblue,-0.2023,Fri Jan 05 11:00:07 +0000 2018,0.726,0.154,0.12,@BBC,48
lightblue,0.0,Fri Jan 05 10:27:02 +0000 2018,1.0,0.0,0.0,@BBC,49
lightblue,-0.296,Fri Jan 05 09:00:04 +0000 2018,0.82,0.18,0.0,@BBC,50
lightblue,0.0,Fri Jan 05 08:51:15 +0000 2018,1.0,0.0,0.0,@BBC,51
lightblue,0.0,Fri Jan 05 08:50:54 +0000 2018,1.0,0.0,0.0,@BBC,52
lightblue,-0.2732,Fri Jan 05 08:47:27 +0000 2018,0.9,0.1,0.0,@BBC,53
lightblue,0.4215,Fri Jan 05 08:40:01 +0000 2018,0.896,0.0,0.104,@BBC,54
lightblue,0.0,Fri Jan 05 08:40:01 +0000 2018,1.0,0.0,0.0,@BBC,55
lightblue,-0.4404,Fri Jan 05 08:21:04 +0000 2018,0.854,0.146,0.0,@BBC,56
lightblue,-0.0516,Fri Jan 05 08:00:04 +0000 2018,0.574,0.221,0.205,@BBC,57
lightblue,0.0,Fri Jan 05 07:38:04 +0000 2018,1.0,0.0,0.0,@BBC,58
lightblue,0.0,Thu Jan 04 20:02:04 +0000 2018,1.0,0.0,0.0,@BBC,59
lightblue,0.6486,Thu Jan 04 19:36:55 +0000 2018,0.762,0.0,0.238,@BBC,60
lightblue,0.6588,Thu Jan 04 19:36:51 +0000 2018,0.788,0.0,0.212,@BBC,61
lightblue,0.0,Thu Jan 04 19:36:43 +0000 2018,1.0,0.0,0.0,@BBC,62
lightblue,-0.5106,Thu Jan 04 19:36:33 +0000 2018,0.823,0.177,0.0,@BBC,63
lightblue,0.4215,Thu Jan 04 19:36:13 +0000 2018,0.843,0.0,0.157,@BBC,64
